price,type_local,surface_bati,surface_terrain,date,nb_pieces,type_local_1234
137000.0,Appartement,85.0,1.0,167,4,1
51000.0,Appartement,13.0,1.0,147,1,1
51000.0,Appartement,9.0,1.0,147,1,1
61800.0,Appartement,14.0,1.0,156,1,1
151165.0,Appartement,48.0,1.0,156,2,1
88000.0,Appartement,53.0,1.0,157,3,1
114400.0,Appartement,29.0,1.0,178,1,1
155000.0,Local industriel. commercial ou assimilé,254.0,1.0,177,0,3
194000.0,Appartement,50.0,1.0,174,2,1
230000.0,Appartement,111.0,1.0,177,4,1
66000.0,Appartement,15.0,1.0,175,1,1
81000.0,Appartement,24.0,1.0,177,1,1
67160.0,Appartement,32.0,1.0,162,1,1
100000.0,Appartement,66.0,1.0,174,4,1
68000.0,Appartement,28.0,1.0,174,2,1
75000.0,Appartement,28.0,1.0,181,1,1
206613.0,Appartement,76.0,1.0,176,3,1
110000.0,Local industriel. commercial ou assimilé,29.0,1.0,178,0,3
110000.0,Local industriel. commercial ou assimilé,15.0,1.0,178,0,3
12000.0,Appartement,27.0,1.0,162,2,1
115000.0,Appartement,70.0,1.0,162,4,1
100000.0,Appartement,30.0,1.0,161,1,1
55000.0,Appartement,18.0,1.0,147,1,1
75000.0,Appartement,28.0,1.0,177,1,1
137500.0,Appartement,61.0,1.0,168,4,1
85000.0,Appartement,58.0,1.0,175,3,1
68400.0,Appartement,27.0,1.0,86,1,1
130000.0,Appartement,37.0,1.0,174,1,1
